loss,val_loss,accuracy,val_accuracy
1.130935072898864746e+00,8.067304491996765137e-01,5.157018303871154785e-01,6.735865473747253418e-01
6.723048090934753418e-01,4.707456529140472412e-01,7.482028007507324219e-01,8.387809395790100098e-01
4.689043462276458740e-01,3.137024343013763428e-01,8.276579380035400391e-01,8.970848321914672852e-01
3.595640361309051514e-01,2.280211150646209717e-01,8.671963810920715332e-01,9.266784191131591797e-01
2.815868854522705078e-01,1.758946478366851807e-01,8.991675972938537598e-01,9.408127069473266602e-01
2.202500551939010620e-01,1.425932794809341431e-01,9.211123585700988770e-01,9.505300521850585938e-01
2.076065689325332642e-01,1.392717063426971436e-01,9.207339882850646973e-01,9.487632513046264648e-01
1.601704359054565430e-01,1.152807995676994324e-01,9.449489116668701172e-01,9.593639373779296875e-01
1.334878057241439819e-01,1.208372339606285095e-01,9.549754261970520020e-01,9.611307382583618164e-01
